"","plot.index","mod","OM","P","Kppm","Mgppm","Cappm","pH","CEC","K","Mg","Ca","C","N","C.N","spalpha.light","spalpha.l","spalpha.o","spalpha.r"
"96",1,"a",-0.694951681760157,0.903296881940175,1.22084375717941,2.10413623793773,1.27243187047599,1.64939631515673,-0.130421010957621,0.507858460666901,2.05438065879279,1.22212124583701,-0.672599255049481,-0.141573024625111,-0.98493071343479,0.131404380272045,-0.191515022178247,0.752170166583864,0.978626719461435
"97",1,"b",-1.10699395548462,0.903296881940175,-0.0859376076023705,1.15305130124566,1.2404015902331,1.64939631515673,-0.31397650786094,0.0886724862454248,1.08871475016754,1.36049070394067,-1.13730046718004,-0.71446916931488,-1.02235248465802,0.603199733956837,-0.649990603788378,0.805756703638331,0.978626719461435
"98",1,"c",-1.18191073252543,1.67729721490346,0.593929540534525,0.822774794453549,1.06411514418634,1.28783979591786,-0.344569090678159,0.431172365774085,0.732943099621387,1.11880444123221,-1.22019421079486,-0.702128185508233,-1.25376778429278,0.0881516701635425,0.0129170185274749,0.866673433027834,0.978626719461435
"99",1,"d",-0.844785235841779,1.29540617000763,2.56710896752945,0.991264583534098,1.2404015902331,1.50788083691765,-0.29868021645233,1.19285821972422,0.868475156972301,1.35380930448141,-0.821853496302309,-1.7005460676023,1.57580118183849,0.174595869184307,0.0129170185274749,0.701618866914775,0.978626719461435
"57",2,"a",-0.245451019515289,0.549076467493686,-0.0386808088401449,-0.0125300457658793,-0.0405992625706146,0.110335523488624,-0.941124455613945,1.08548336949543,0.766826113959115,0.331031829396446,-0.185966033987159,-0.356496032819908,0.272110669738167,-0.0419764073807109,-0.191515022178247,0.701618866914775,-1.71263552487381
"58",2,"b",0.840842247576474,1.29540617000763,1.57618865481703,1.83816548670257,0.984602128864726,0.0146475396159198,0.450838062569555,0.0886724862454248,0.834592142634572,0.374171127637043,0.831205456631568,2.91874903994866,-2.27308237576989,0.389644005356796,-0.41115084646863,-1.26987372967831,-1.6859392186575
"59",2,"c",-0.0207006883928556,0.73888084852536,-0.3760755015736,-0.0864267199785146,-0.0405992625706146,-0.283864067831345,-0.772865250119236,0.581536470915617,0.275522406062054,0.11377938337791,0.0714891850497543,0.244575041333064,-0.201346960427255,0.475243645727022,0.0129170185274749,-1.26987372967831,-1.31756340435891
"60",2,"d",1.32780129834175,0.903296881940175,0.462612156369537,-0.666269861284938,0.155019863381825,-0.387444382100362,-0.543420878990088,0.652433505883925,-0.639318981056612,0.110386406686034,1.20231031599861,1.27693469074606,0.158400501670778,0.346754770202515,-0.191515022178247,-1.26987372967831,-1.249871706384
"17",3,"a",0.204049642729578,-0.803635214855761,-1.15940788051862,1.65255257138636,0.755451064333172,1.43559948535739,-0.696383793076187,-0.00768445287515373,2.93533903157373,1.07320239891684,0.256426926796374,-0.379619297439155,1.08995268138709,-0.568167600902871,0.724298731718152,-1.26987372967831,0.351055429327403
"18",3,"b",0.0916744771683612,-0.803635214855761,-0.627232222300429,1.35960266762162,0.755451064333172,1.57913688645088,-0.742272667302016,0.431172365774085,2.57956738102758,1.15201669971518,0.133864813959718,-0.689817265133501,1.40522424536114,-1.46642268109727,-1.21403494289991,-1.26987372967831,0.569898655941295
"19",3,"c",0.728467082015257,-0.304389580904282,-1.15940788051862,-0.487327565571779,-1.02371938966623,-0.601241211899706,-1.0329022040656,0.652433505883925,0.25858089889319,-0.533740952908023,0.720812212881379,0.000858083602207851,1.20513976989229,-4.0944065594311,0.0129170185274749,0.563956134809114,-0.155465647511133
"20",3,"d",0.765925470535662,-0.803635214855761,-0.782444476129713,-0.162195085133171,-0.784300929021229,-0.601241211899706,-0.971717038431165,0.720751887792776,0.597411042270474,-0.403559213958919,0.776269213562303,-0.356496032819908,1.87895702543969,-3.94432564053458,-1.08885484435188,0.563956134809113,-0.317793072811211
"73",4,"a",-0.882243624362185,-0.304389580904282,-0.22955542959183,-0.239985004800701,-0.280017723215617,-0.182376428978535,-0.864642998570896,0.786672632542912,0.241639391724326,-0.0440270590752139,-0.898480652204027,-0.929091224360129,-0.13932561972207,0.260796218513518,-0.191515022178247,-1.26987372967831,0.67545447588644
"74",4,"c",0.129132865688767,0.0498308335422072,0.00827783084236141,-0.319967477597823,0.394438324026828,-0.283864067831345,-0.405754256312599,0.267717277628638,-0.436020895030241,0.261754694474297,0.195502191728256,1.17882009225272,-1.29353893494767,-0.523964167197642,-0.191515022178247,-1.26987372967831,0.829435856161684
"75",4,"d",0.166591254209173,-0.304389580904282,-0.181368879998563,-0.575199482363332,-0.423288188714886,-0.493205494000309,-0.925828164205335,0.971597079614382,-0.0971907516529578,-0.117880528754435,0.256426926796374,0.0439793723349283,0.410266814833308,0.941860797336062,0.386528307682667,0.459818298085557,-0.155465647511133
"114",4,"b",0.241508031249984,0.0498308335422072,0.284068828244196,0.0596271518492715,0.0616623371850436,0.0146475396159198,-0.711680084484797,0.786672632542912,0.360229941906375,0.167423796472694,0.31666318046756,0.0654202324559033,0.464346187184402,0.389644005356796,0.0129170185274749,0.459818298085557,-0.219553056043862
