"","plot.index","mod","OM","P","Kppm","Mgppm","Cappm","pH","CEC","K","Mg","Ca","C","N","C.N","summalpha.light","summalpha.l","summalpha.o","summalpha.r"
"80",7,"b",0.0707734152734858,-2.01725416099042,-0.491800253875575,0.0168670341742545,-0.798848278382483,-0.766436893794045,1.05214437755002,-1.23533846309138,-0.933422287546492,-1.25428490365678,0.096182084484093,-1.43768137849244,3.90283976680478,1.27566481275401,-1.05908345917096,0.130169549782663,0.978626719461435
"81",7,"c",-0.122661918557134,-2.01725416099042,-0.401287083007147,-0.882872586238564,-2.20514819366384,-0.643041381467006,-1.8621210830932,1.69436757794291,0.581922515188637,-1.0907770169199,-0.124402952542882,0.0394297886032869,-0.445741108715752,0.764344451495058,-0.766328657641394,1.1654973131868,0.978626719461435
"82",7,"d",-0.227159816076885,-2.01725416099042,-1.17391775500693,0.468521902899561,-0.387531920779016,-0.766436893794045,0.875301695794379,-1.6751758371234,-0.455206810190091,-0.967939521443014,-0.244943228118489,0.0043118053240728,-0.659501062570495,0.588887042381029,-0.766328657641394,-0.214936253592836,0.978626719461435
"83",8,"a",1.6278376373235,1.33156156566416,1.02795591863119,0.227207573187139,0.315618036861663,-1.28977262577043,1.14835249165214,-0.591765777021652,-0.825188455132853,-0.568459678213048,1.63050013399833,1.68164559399353,0.372079368193652,0.148628590978681,0.258238757848595,-0.214936253592836,0.978626719461435
"84",8,"b",1.36387259666804,-0.419462999664051,0.113138840892076,-1.18488028254189,-0.798848278382483,-1.86829343746546,1.44062030308785,-1.23533846309138,-1.76548292359834,-1.35671732791852,1.35278986139714,1.80854032666874,-0.703253853334962,0.148628590978681,0.0291260113900596,-0.214936253592836,0.978626719461435
"85",8,"c",1.47084995610724,0.588630984010249,1.13391984877147,-0.882872586238564,-0.57248455209909,-1.57141739675816,1.56284056983616,-0.884135102659579,-1.69368390374606,-1.29028279142335,1.45846104195185,1.70601088487115,-0.159603916473104,-0.323242472325964,0.466702665932962,-0.214936253592836,0.978626719461435
"86",8,"d",0.246598237278123,-0.419462999664051,0.662353602704079,-1.56310636761178,-1.09068187841969,-1.42878939817289,1.1009129398122,-0.731852339477945,-1.80296856286711,-1.39696793686106,0.246493217478165,0.362477679125894,-0.239870800938603,-0.686640760460233,0.780404621587333,-0.214936253592836,0.978626719461435
"87",9,"a",-0.0560090962321531,-0.00106619364182199,1.67398843584647,1.61924767160591,1.37210108765986,1.11662788194016,0.603283537625092,0.328974856050849,1.04156634381129,1.07197299487669,-0.0668459490554363,0.493500026013726,-1.40439955696522,0.497039243673534,-0.903447069519921,-0.214936253592836,0.978626719461435
"88",9,"b",0.274407930034328,0.812823445974282,1.09877738885162,1.64497464896333,1.40150694242807,1.20448366363738,0.641268837137741,-0.022228504380955,1.03013865834503,1.09062044336081,0.294100980293942,1.04552436650967,-1.87170584760315,0.930296195138163,-1.05908345917096,-0.214936253592836,0.978626719461435
"89",9,"c",0.603641283526561,0.812823445974282,0.884087794478172,1.5930732461921,1.43008435210581,0.844297564777283,0.79691889606812,-0.228366215864508,0.78223358149056,0.985364130251689,0.598012174829583,1.09960417857812,-1.06620800045764,0.588887042381029,-0.642364137650552,-0.214936253592836,0.978626719461435
"90",9,"d",-0.191695696281644,-0.00106619364182199,-0.181293677293786,1.48357103451766,1.17514321614467,0.458815162204409,0.678443000329884,-0.731852339477945,0.78223358149056,0.704435413848251,-0.183731216082971,0.443483256739932,-1.71154789354157,1.6570927714067,-0.528366996485735,-0.214936253592836,0.978626719461435
"91",10,"a",-0.906320673704136,0.812823445974282,-1.61240700445051,-0.227722577628643,-0.095698320741804,-0.404270319091721,-0.708975753973962,-0.34131816158141,0.187136744959756,0.0955046711141769,-0.906146343455435,-0.664236016276362,-0.927318198197512,-0.323242472325964,-1.24369697074786,-0.214936253592836,0.978626719461435
"92",10,"b",-0.957863469600605,1.00702779003248,-1.12194889559216,-0.0603289392493497,0.2273510024418,-0.175450993401694,-0.479911337503799,-0.228366215864508,0.158103527560014,0.336322984820857,-0.995837698002335,-0.546991891758917,-1.35481298846084,-0.950751199883747,-1.24369697074786,-0.214936253592836,0.978626719461435
"93",10,"c",-0.957863469600605,1.17832816166232,-1.55516216450011,-0.318962119764456,0.130665405541589,-0.404270319091721,-0.298873167367373,-0.731852339477945,-0.246842523186306,0.0879367444560283,-0.995837698002335,-0.788183355015495,-0.74735251955143,-0.607719930093724,-1.24369697074786,-0.214936253592836,0.978626719461435
"94",10,"d",-0.856116804290823,1.00702779003248,-1.07054191120987,-0.227722577628643,0.130665405541589,-0.175450993401694,-0.578017507521007,-0.122264172126612,0.0543295150263472,0.273873289712435,-0.820442614800951,-0.524285002877694,-1.11328382603804,-0.134229147228886,-1.24369697074786,-0.214936253592836,0.978626719461435
"95",11,"a",-1.63977555943782,-0.419462999664051,-0.870189406608293,-0.0603289392493497,0.130665405541589,0.25542638392312,-0.880352422360365,0.328974856050849,0.530079664062977,0.502401729138778,-1.64456169901805,-1.48993663170358,-0.881779559792936,0.543333569348313,0.399174881533311,-0.214936253592836,-1.60766097308552
"96",11,"b",-2.46096443169185,1.47017804069048,-1.27961752232303,-0.751921201153171,-0.57248455209909,0.0442130667858226,-1.97096426229438,1.19088145432947,0.866625501485939,0.43389514762257,-2.4263050899306,-2.62129088609289,-0.362479082043665,0.633734131643853,0.258238757848595,-0.214936253592836,0.978626719461435
"97",11,"c",-0.957863469600605,-1.00916017731612,-1.01967896201933,0.41172302907505,0.541981763145056,0.458815162204409,-0.456224933645003,-0.122264172126612,0.670896167285658,0.752090412816909,-0.995837698002335,-0.974548489086616,-0.239870800938603,0.764344451495058,0.184462034573286,-0.214936253592836,-0.155465647511133
"98",11,"d",-1.49654409502052,-1.00916017731612,-0.677551509084451,0.160308047176517,0.315618036861663,0.654938482312801,-1.03729861523419,0.687395330716035,0.995660529641463,0.927249070380935,-1.52013036978735,-1.50763867346873,-0.403954754335817,0.721434335872624,0.258238757848595,-0.214936253592836,0.978626719461435
"99",12,"a",-0.579540036659266,-1.00916017731612,-0.31224596539329,-0.318962119764456,-0.095698320741804,-0.766436893794045,1.12953151020427,-1.23533846309138,-1.19396894841899,-0.868517679849654,-0.584063323242662,-0.319660480049943,-0.836609659348358,-1.05110373587865,0.329743788123281,-0.214936253592836,-2.49165373754844
