"","spgamma.rich","spmean.rich","spbeta.rich","spvar.rich","spgamma.evens","spmean.evens","spbeta.evens","spvar.evens"
"1",12,6.75,0.5625,32.8497152979014,0.21091644746897,0.327105403407326,1.55087669706484,29.8973924562264
"2",6,3.75,0.625,13.3333333333333,0.421934577563717,0.648541529159751,1.53706655876482,62.5781472862679
"3",13,6,0.461538461538462,23.5702260395516,0.1210893158785,0.625740144629718,5.16759170774061,66.3507479184255
"4",13,6,0.461538461538462,30.4290309725092,0.0998875195363093,0.44251628718461,4.43014592051968,80.1987741595872
"5",27,19.25,0.712962962962963,9.83360752519528,0.182794065923051,0.239187972986221,1.30851060059526,17.6562467104089
"6",29,26,0.896551724137931,5.43928293220421,0.130826241745339,0.152306522623243,1.16418939038023,48.1599314985013
"7",9,5.25,0.583333333333333,32.5300024316178,0.119517737514829,0.224719525187003,1.88021903576547,36.7913682786363
"8",8,4,0.5,35.3553390593274,0.2165548098434,0.79693460071367,3.68005957147738,41.619083918806
"9",23,12,0.521739130434783,35.3553390593274,0.233176796826127,0.325941797066193,1.39783118004335,40.7199889979449
"10",1,1,1,0,1,1,1,0
"11",19,10.5,0.552631578947368,12.2951852260553,0.114077862476682,0.200229410314567,1.75519952747621,35.6856092353258
"12",5,4,0.8,20.4124145231931,0.839301310043668,0.988235294117647,1.17744996021301,2.38095238095238
"13",22,16.75,0.761363636363636,13.2379449707961,0.152805666889329,0.196433398626248,1.28551121581451,34.5545490821859
"14",5,2.75,0.55,62.1027319149066,0.220068987143305,0.802352993456501,3.64591578246335,49.2668459282603
"15",22,15.5,0.704545454545455,23.8506161428159,0.126642140500197,0.228663359009786,1.80558665627917,36.1007069272055
"16",20,16.25,0.8125,5.89185912465439,0.235759516950647,0.271021576954032,1.14956791759447,20.6993235528682
"17",20,11,0.55,30.604560419279,0.258878435767371,0.33809915046413,1.30601511656208,24.1596359334407
"18",11,6,0.545454545454545,27.2165526975909,0.227346596710783,0.27917102753068,1.22795340493187,11.2656953517285
"19",7,5.5,0.785714285714286,18.1818181818182,0.273936087420496,0.331952732714998,1.21178898275438,15.4638426921308
"20",12,4,0.333333333333333,20.4124145231931,0.907407407407407,0.945629833129833,1.04212267324512,4.0211978642915
"21",7,5.75,0.821428571428571,16.6509062218494,0.229079457774254,0.431946836388335,1.88557647457852,38.0855443839761
"22",22,14.5,0.659090909090909,24.2198936847189,0.248797158936924,0.397308589930437,1.59691771251762,98.1340738847997
"23",7,3.5,0.5,59.4761714133181,0.240976228687003,0.798229054297015,3.31248048260317,36.4053835980301
"24",0,0,NA,NA,NA,NA,NA,NA
"25",6,5,0.833333333333333,16.3299316185545,0.311916408649824,0.433223495061695,1.38890896101608,88.0409228572821
"26",29,23.5,0.810344827586207,11.2585162172961,0.181685534793149,0.202743989811686,1.11590606287128,22.6120931009897
"27",7,2.75,0.392857142857143,62.1027319149066,0.152506733554038,0.665881481463615,4.3662431549468,54.2837317442317
"28",9,4.75,0.527777777777778,60.469080489874,0.139813746323911,0.433010986068191,3.09705588651506,76.8596268914692
"29",2,2,1,0,1,1,1,0
