"","plot.index","mod","OM","P","Kppm","Mgppm","Cappm","pH","CEC","K","Mg","Ca","C","N","C.N","summalpha.light","summalpha.l","summalpha.o","summalpha.r"
"106",13,"d",9.1,6,125,330,2350,6.5,17.2,1.9,16,68.2,5.3,0.511,10.3,1.5,0.2,0,101
"107",14,"a",8.1,4,91,135,300,4.5,7.7,3,14.7,19.6,4.7,0.293,16,8,1.6,0,25
"108",14,"b",7.6,4,90,195,350,4.8,8.4,2.7,19.3,20.8,4.4,0.269,16.4,9.5,1.4,0,20
"109",14,"c",8.2,5,88,170,250,4.5,7.7,2.9,18.4,16.3,4.8,0.29,16.4,4,1.8,0,101
"110",14,"d",5.2,4,66,95,200,4.4,16.4,1,4.8,6.1,3,0.187,16.1,3.75,1.3,0,16
"111",15,"a",4.3,2,51,180,1250,5.8,11.5,1.1,13.1,54.4,2.5,0.213,11.7,2.5,0,0,101
"112",15,"b",2.5,3,23,145,900,6.5,7,0.8,17.3,64.6,1.5,0.103,14.1,10,0,0,101
"113",15,"c",3.8,4,53,170,1050,6.2,8,1.7,17.7,65.6,2.2,0.169,13.1,4,0,0,101
"114",15,"d",3.2,3,43,160,850,5.7,8.1,1.4,16.5,52.5,1.9,0.137,13.5,2.75,0,0,101
"1111",16,"a",6.9,3.5,93,247.5,1825,5.95,15,1.65,13.8,60.3,4,0.346,11.45,11.5,2.1,0,101
"1121",16,"b",6.7,3.5,93,230,1700,6,14.25,1.65,13.45,59.6,3.9,0.316,12.3,14.25,1.5,0,55
"1131",16,"c",4.35,5.5,67,137.5,875,5.25,9.3,2,11.55,41.3,2.5,0.221,11.35,11.75,0.8,0,101
"1141",16,"d",4.8,6.5,77.5,152.5,1000,5.3,10.05,2.3,11.65,42.55,2.8,0.229,12.15,7.25,1.8,0,101
"115",17,"a",4.4,2,42,45,50,4.6,1.9,5.6,19.4,12.9,2.6,0.125,20.4,8.75,4.4,0,33
"116",17,"b",4.5,4,66,215,1250,6.3,9.4,1.8,19,66.4,2.6,0.175,14.9,6.75,3.8,0,49
"117",17,"c",4.5,1,84,100,300,4.9,6.1,3.5,13.6,24.4,2.6,0.189,13.8,8.25,5.1,0,42
"118",17,"d",4.3,1,71,65,100,4.6,3.6,5,14.9,13.8,2.5,0.162,15.4,7.5,0.1,0,39
"31",18,"a",4.3,5,67,90,350,4.3,12.3,1.4,6.1,14.3,2.5,0.22,11.3,4,3.2,0,86
"32",18,"b",5.2,4,58,75,200,4.2,15,1,4.2,6.7,3,0.23,13.1,4.25,2.1,0,87
