plot #,plot index,mod,OM,P1,K,MG,CA,PH,CEC,PERK,PERMG,PERCA,C,N,C:N
3596-2,27,a,13.5,3,90,65,150,4.4,20.7,1.1,2.6,3.6,7.8,0.441,17.8
3596-3,27,b,11.3,3,80,60,150,4.6,3.9,5.3,13,19.5,6.6,0.386,17
3596-8,27,c,7.8,3,66,40,200,4.5,5.1,3.3,6.5,19.6,4.5,0.272,16.6
3596-9,27,d,31.5,5,109,75,200,4.6,5.5,5.1,11.4,18.2,18.3,0.884,20.7
3668-2,28,a,7.4,5,115,110,450,5.1,7.1,4.2,13,31.9,4.3,0.295,14.5
3668-3,28,b,7.9,5,121,100,450,5,7,4.4,11.9,32.2,4.6,0.295,15.5
3668-8,28,c,6.3,3,135,125,500,5.4,6.3,5.5,16.6,39.8,3.7,0.25,14.6
3668-9,28,d,6.7,7,101,80,250,4.9,4.6,5.7,14.6,27.3,3.9,0.256,15.2
3732-1,29,a,11.9,5,76,40,100,4.5,3.4,5.7,9.7,14.6,6.9,0.392,17.6
3732-2,29,b,9.4,5,80,35,200,4.1,21.9,0.9,1.3,4.6,5.5,0.313,17.4
3732-3,29,c,11.8,6,83,40,200,4.2,20.7,1,1.6,4.8,6.8,0.376,18.2
3732-4,29,d,10.9,9,70,40,150,4.3,19.3,0.9,1.7,3.9,6.3,0.359,17.6
1071-2,16,a,5.5,4,96,225,1500,5.7,13.2,1.9,14.2,56.7,3.2,0.289,11
1071-3,16,b,6.5,4,88,235,1800,6.1,14.8,1.5,13.2,60.9,3.8,0.302,12.5
1071-8,16,c,5,4,80,210,1450,5.9,12.8,1.6,13.7,56.6,2.9,0.245,11.8
1136-2,24,a,21.5,18,109,80,250,4.2,21.4,1.3,3.1,5.8,12.5,0.547,22.8
1136-3,24,b,16.2,3,89,70,200,4.2,22.2,1,2.6,4.5,9.4,0.496,18.9
1136-8,24,c,16.1,2,85,65,150,4.1,19.5,1.1,2.8,3.8,9.3,0.484,19.3
1136-9,24,d,10.8,9,76,45,200,4.1,22,0.9,1.7,4.6,6.3,0.323,19.4
1376-1,25,a,5.6,2,73,50,150,4.3,13.4,1.4,3.1,5.6,3.2,0.218,14.9
1376-2,25,b,6.7,3,77,35,100,4.4,17.8,1.1,1.6,2.8,3.9,0.217,17.9
1376-3,25,c,10.5,3,93,45,250,4.2,19.9,1.2,1.9,6.3,6.1,0.434,14
1376-4,25,d,8.3,4,89,60,150,4.3,19.5,1.2,2.6,3.9,4.8,0.315,15.3
3370-1,26,a,6.3,4,78,220,1750,6.4,12,1.7,15.3,73,3.7,0.299,12.2
3370-2,26,b,6.9,4,66,240,1450,6.3,10.6,1.6,18.8,68.3,4,0.249,16.1
3370-3,26,c,8.2,11,91,210,1500,5.5,14.3,1.6,12.3,52.5,4.8,0.328,14.5
3370-4,26,d,6.8,11,89,260,1350,5.9,12.7,1.8,17,53,3.9,0.282,14
1071-9,16,d,5.8,4,87,240,1700,5.8,14.3,1.6,14,59.3,3.4,0.276,12.2
1071-2JULY,16,a,8.3,3,90,270,2150,6.2,16.8,1.4,13.4,63.9,4.8,0.403,11.9
1071-3JULY,16,b,6.9,3,98,225,1600,5.9,13.7,1.8,13.7,58.3,4,0.33,12.1
1090-2,18,a,4.3,5,67,90,350,4.3,12.3,1.4,6.1,14.3,2.5,0.22,11.3
1090-3,18,b,5.2,4,58,75,200,4.2,15,1,4.2,6.7,3,0.23,13.1
1090-8,18,c,3.5,5,69,65,300,4.4,10.6,1.7,5.1,14.1,2,0.166,12.2
1090-9,18,d,4.4,4,66,75,300,4.3,10.7,1.6,5.8,14,2.6,0.181,14.1
1092-2,19,a,5.4,3,65,50,200,4.6,5.2,3.2,8,19.3,3.1,0.221,14.2
1092-3,19,b,7,4,61,45,300,4.7,5.6,2.8,6.7,26.6,4.1,0.26,15.6
1092-8,19,c,6.9,7,83,75,500,5.4,5.7,3.7,10.9,43.6,4,0.276,14.5
1092-9,19,d,4.9,5,74,70,450,5.1,6.6,2.9,8.8,34,2.8,0.201,14.1
1094-2,20,a,8.7,12,85,235,2550,6.9,15.2,1.4,12.9,84.1,5,0.321,15.7
1094-3,20,b,8.3,22,96,245,2600,7.1,15.3,1.6,13.4,85,4.8,0.249,19.3
1094-8,20,c,4.9,7,92,210,1750,6.8,11.1,2.1,15.8,79.1,2.8,0.202,14.1
1094-9,20,d,8.2,12,70,290,2800,7,16.6,1.1,14.6,84.4,4.8,0.337,14.1
1071-8JULY,16,c,3.7,7,54,65,300,4.6,5.8,2.4,9.4,26,2.1,0.197,10.9
1071-9JULY,16,d,3.8,9,68,65,300,4.8,5.8,3,9.3,25.8,2.2,0.182,12.1
1097-2,21,a,5.5,4,84,60,150,4.7,3.9,5.6,12.9,19.4,3.2,0.234,13.6
1097-3,21,b,12.7,6,58,45,150,4.5,3.7,4,10.2,20.4,7.4,0.447,16.5
1097-8,21,c,6.9,3,59,40,150,4.5,3.6,4.2,9.2,20.6,4,0.305,13.1
1097-9,21,d,6.3,3,55,40,150,4.6,3.6,3.9,9.2,20.7,3.7,0.27,13.5
1098-2,22,a,2.3,3,41,130,1100,7.1,6.7,1.6,16.2,82.2,1.3,0.09,14.8
1098-3,22,b,2.7,2,38,140,1650,7.2,9.5,1,12.3,86.7,1.6,0.119,13.2
1098-8,22,c,2.3,2,40,95,1500,7.2,8.4,1.2,9.4,89.3,1.3,0.099,13.5
1098-9,22,d,4.2,3,57,235,1000,5.9,9.5,1.5,20.6,52.6,2.4,0.196,12.4
1099-2,23,a,8.4,1,59,40,150,4.4,21.6,0.7,1.5,3.5,4.9,0.285,17.1
1099-3,23,b,5.2,1,56,40,150,4.6,3.6,4,9.2,20.7,3,0.19,15.9
1099-8,23,c,8.9,2,67,30,100,4.1,24.9,0.7,1,2,5.2,0.291,17.7
1099-9,23,d,5.4,1,46,40,150,4.5,3.6,3.3,9.3,20.8,3.1,0.2,15.7
